consulta,tipo_api,tempo_ms,tamanho_bytes,timestamp
Consulta 5 - Aninhada,GraphQL,575.48,2576,2025-11-26T14:19:45.819042
Consulta 5 - Aninhada,REST,1128.01,31290,2025-11-26T14:19:47.948560
Consulta 5 - Aninhada,GraphQL,556.94,2576,2025-11-26T14:19:49.507078
Consulta 5 - Aninhada,REST,1165.07,31290,2025-11-26T14:19:51.673121
Consulta 5 - Aninhada,REST,1079.32,31290,2025-11-26T14:19:53.754474
Consulta 5 - Aninhada,GraphQL,535.2,2576,2025-11-26T14:19:55.291608
Consulta 5 - Aninhada,GraphQL,536.56,2576,2025-11-26T14:19:56.829157
Consulta 5 - Aninhada,GraphQL,586.03,2576,2025-11-26T14:19:58.417796
Consulta 5 - Aninhada,REST,1209.42,31290,2025-11-26T14:20:00.628048
Consulta 5 - Aninhada,GraphQL,568.26,2576,2025-11-26T14:20:02.198842
Consulta 5 - Aninhada,REST,1127.68,31290,2025-11-26T14:20:04.327070
Consulta 5 - Aninhada,GraphQL,545.93,2576,2025-11-26T14:20:05.875731
Consulta 5 - Aninhada,REST,1094.26,31290,2025-11-26T14:20:07.970805
Consulta 5 - Aninhada,GraphQL,567.95,2576,2025-11-26T14:20:09.541177
Consulta 5 - Aninhada,REST,1117.77,31290,2025-11-26T14:20:11.660641
Consulta 5 - Aninhada,GraphQL,541.87,2576,2025-11-26T14:20:13.205229
Consulta 5 - Aninhada,GraphQL,668.43,2576,2025-11-26T14:20:14.875657
Consulta 5 - Aninhada,GraphQL,603.99,2576,2025-11-26T14:20:16.481650
Consulta 5 - Aninhada,GraphQL,553.8,2576,2025-11-26T14:20:18.036641
Consulta 5 - Aninhada,REST,1128.26,31290,2025-11-26T14:20:20.166581
Consulta 5 - Aninhada,GraphQL,560.76,2576,2025-11-26T14:20:21.729418
Consulta 5 - Aninhada,GraphQL,543.44,2576,2025-11-26T14:20:23.275569
Consulta 5 - Aninhada,REST,1158.87,31290,2025-11-26T14:20:25.435656
Consulta 5 - Aninhada,REST,1129.41,31290,2025-11-26T14:20:27.565891
Consulta 5 - Aninhada,GraphQL,571.17,2576,2025-11-26T14:20:29.139344
