consulta,tipo_api,tempo_ms,tamanho_bytes,timestamp,numero_consulta,complexidade,num_endpoints,data,hora,minuto,periodo_dia,ordem_execucao
Consulta 4 - Lista,REST,714.65,53183,2025-11-26 14:17:09.642660,4,Média,1,2025-11-26,14,17,Tarde,189
Consulta 4 - Lista,GraphQL,701.3,971,2025-11-26 14:17:11.347448,4,Média,1,2025-11-26,14,17,Tarde,190
Consulta 4 - Lista,GraphQL,614.04,971,2025-11-26 14:17:12.963231,4,Média,1,2025-11-26,14,17,Tarde,191
Consulta 4 - Lista,GraphQL,650.56,971,2025-11-26 14:17:14.615797,4,Média,1,2025-11-26,14,17,Tarde,192
Consulta 4 - Lista,GraphQL,783.0,971,2025-11-26 14:17:16.400441,4,Média,1,2025-11-26,14,17,Tarde,193
Consulta 4 - Lista,GraphQL,675.74,971,2025-11-26 14:17:18.078259,4,Média,1,2025-11-26,14,17,Tarde,194
Consulta 4 - Lista,GraphQL,624.0,971,2025-11-26 14:17:19.704692,4,Média,1,2025-11-26,14,17,Tarde,195
Consulta 4 - Lista,GraphQL,649.95,971,2025-11-26 14:17:21.357050,4,Média,1,2025-11-26,14,17,Tarde,196
Consulta 4 - Lista,REST,768.63,53183,2025-11-26 14:17:23.127765,4,Média,1,2025-11-26,14,17,Tarde,197
Consulta 4 - Lista,REST,921.84,53183,2025-11-26 14:17:25.051901,4,Média,1,2025-11-26,14,17,Tarde,198
Consulta 4 - Lista,GraphQL,578.62,971,2025-11-26 14:17:26.632718,4,Média,1,2025-11-26,14,17,Tarde,199
Consulta 4 - Lista,GraphQL,618.67,971,2025-11-26 14:17:28.251962,4,Média,1,2025-11-26,14,17,Tarde,200
Consulta 4 - Lista,GraphQL,673.37,971,2025-11-26 14:17:29.928410,4,Média,1,2025-11-26,14,17,Tarde,201
Consulta 4 - Lista,REST,795.91,53183,2025-11-26 14:17:31.725845,4,Média,1,2025-11-26,14,17,Tarde,202
Consulta 4 - Lista,REST,893.25,53183,2025-11-26 14:17:33.621255,4,Média,1,2025-11-26,14,17,Tarde,203
Consulta 4 - Lista,REST,833.97,53183,2025-11-26 14:17:35.457474,4,Média,1,2025-11-26,14,17,Tarde,204
Consulta 4 - Lista,REST,666.31,53183,2025-11-26 14:17:37.125095,4,Média,1,2025-11-26,14,17,Tarde,205
Consulta 4 - Lista,REST,714.6,53183,2025-11-26 14:17:38.841782,4,Média,1,2025-11-26,14,17,Tarde,206
Consulta 4 - Lista,GraphQL,712.02,971,2025-11-26 14:17:40.556109,4,Média,1,2025-11-26,14,17,Tarde,207
